"[Khoongming Khoo, Eugene Lee, Thomas Peyrin, Siang Meng Sim]",Human-readable Proof of the Related-Key Security of AES-128.
"[Guozhen Liu, Mohona Ghosh, Song Ling]",Security Analysis of SKINNY under Related-Tweakey Settings (Long Paper).
"[Giorgia Azzurra Marson, Bertram Poettering]",Security Notions for Bidirectional Channels.
Sylvain Ruhault,SoK - Security Models for Pseudo-Random Number Generators.
"[Daniele Midi, Salmin Sultana, Elisa Bertino]",A System for Response and Prevention of Security Incidents in Wireless Sensor Networks.
"[Pablo Peñil, Álvaro Díaz Suárez, Hector Posadas, Julio L. Medina, Pablo Sánchez Espeso]",High-Level Design of Wireless Sensor Networks for Performance Optimization Under Security Hazards.
"[Huangke Chen, Xiaomin Zhu, Dishan Qiu, Ling Liu 0001, Zhihui Du]",Scheduling for Workflows with Security-Sensitive Intermediate Data by Selective Tasks Duplication in Clouds.
"[Valentina Casola, Alessandra De Benedictis, Madalina Erascu, Jolanda Modic, Massimiliano Rak]",Automatically Enforcing Security SLAs in the Cloud.
"[Stefano Russo, Marco Vieira]",Editorial - Security and Dependability of Cloud Systems and Services.
"[Stefano Russo, Marco Vieira]",Editorial - Security and Dependability of Cloud Systems and Services - Part II.
"[Xianglong Wu, Rui Jiang, Bharat K. Bhargava]",On the Security of Data Access Control for Multiauthority Cloud Storage Systems.
"[Alireza Sadeghi, Hamid Bagheri, Joshua Garcia, Sam Malek]",A Taxonomy and Qualitative Comparison of Program Analysis Techniques for Security Assessment of Android Software.
"[Asmaa R. Abdallah, Xuemin Shen]",Lightweight Security and Privacy Preserving Scheme for Smart Grid Customer-Side Networks.
"[Cristina Alcaraz, Javier López 0001, Stephen D. Wolthusen]",OCPP Protocol - Security Threats and Challenges.
"[Deyang Chen, Han Jiang, Yalou Li, Dechao Xu]",A Two-Layered Parallel Static Security Assessment for Large-Scale Grids Based on GPU.
"[Tian-en Huang, Qinglai Guo, Hongbin Sun]",A Distributed Computing Platform Supporting Power System Security Knowledge Discovery Based on Online Simulation.
"[Ioannis Konstantelos, Geoffroy Jamgotchian, Simon H. Tindemans, Philippe Duchesne, Stijn Cole, Christian Merckx, Goran Strbac, Patrick Panciatici]",Implementation of a Massively Parallel Dynamic Security Assessment Platform for Large-Scale Grids.
"[Jun Xiao, Guo-qiang Zu, Xiao-xu Gong, Fangxing Li]",Observation of Security Region Boundary for Smart Distribution Grid.
"[Yan Zhang, David Yau, Saman A. Zonouz, Dong Jin, Meikang Qiu, Melike Erol-Kantarci]",Guest Editorial Smart Grid Cyber-Physical Security.
"[Gan Zhou, Yanjun Feng, Rui Bo, Lungsheng Chien, Xu Zhang, Yansheng Lang, Yupei Jia, Zhengping Chen]",GPU-Accelerated Batch-ACPF Solution for N-1 Static Security Analysis.
"[Kaiqi Huang, Tieniu Tan, Stephen J. Maybank, Rama Chellappa, Jake Aggarval]",Guest Editorial Introduction to the Special Issue on Large-Scale Video Analytics for Enhanced Security - Algorithms and Systems.
"[Jonathon Magaña, Daohang Shi, Jackson Melchert, Azadeh Davoodi]",Are Proximity Attacks a Threat to the Security of Split Manufacturing of Integrated Circuits?
"[Fahim Rahman, Bicky Shakya, Xiaolin Xu, Domenic Forte, Mark Tehranipoor]","Security Beyond CMOS - Fundamentals, Applications, and Roadmap."
"[Fatemeh Tehranipoor, Nima Karimian, Wei Yan 0005, John A. Chandy]",DRAM-Based Intrinsic Physically Unclonable Functions for System-Level Security and Authentication.
"[Weize Yu, Selçuk Köse]",Security-Adaptive Voltage Conversion as a Lightweight Countermeasure Against LPA Attacks.
"[Saud Althunibat, Victor Sucasas, Jonathan Rodriguez]",A Physical-Layer Security Scheme by Phase-Based Adaptive Modulation.
"[Xiaojin Ding, Tiecheng Song, YuLong Zou, Xiaoshu Chen, Lajos Hanzo]",Security-Reliability Tradeoff Analysis of Artificial Noise Aided Two-Way Opportunistic Relay Selection.
"[Ahmed H. Abd El-Malek, Anas M. Salhab, Salam A. Zummo]",New Bandwidth Efficient Relaying Schemes in Cooperative Cognitive Two-Way Relay Networks With Physical Layer Security.
"[Hichem Sedjelmaci, Sidi-Mohammed Senouci, Tarik Taleb]",An Accurate Security Game for Low-Resource IoT Devices.
"[Ajay Singh, Manav R. Bhatnagar, Ranjan K. Mallik]",Physical Layer Security of a Multiantenna-Based CR Network With Single and Multiple Primary Users.
"[Shiang-Feng Tzeng, Shi-Jinn Horng, Tianrui Li, Xian Wang, Po-Hsian Huang, Muhammad Khurram Khan]",Enhancing Security and Privacy for Identity-Based Batch Verification Scheme in VANETs.
"[Dawei Wang, Pinyi Ren, Qinghe Du, Li Sun, Yichen Wang]",Security Provisioning for MISO Vehicular Relay Networks via Cooperative Jamming and Signal Superposition.
"[Kun Wang 0005, Li Yuan, Toshiaki Miyazaki, Deze Zeng, Song Guo, Yanfei Sun]",Strategic Antieavesdropping Game for Physical Layer Security in Wireless Cooperative Networks.
"[Mohammad Reza Abedi, Nader Mokari, Hamid Saeedi, Halim Yanikomeroglu]",Robust Resource Allocation to Enhance Physical Layer Security in Systems With Full-Duplex Receivers - Active Adversary.
"[Aydin Behnad, Mahsa Bataghva Shahbaz, Tricia J. Willink, Xianbin Wang 0001]",Statistical Analysis and Minimization of Security Vulnerability Region in Amplify-and-Forward Cooperative Systems.
"[Zubair Md. Fadlullah, Chao Wei, Zhiguo Shi, Nei Kato]",GT-QoSec - A Game-Theoretic Joint Optimization of QoS and Security for Differentiated Services in Next Generation Heterogeneous Networks.
"[Xiaojie Fang, Ning Zhang 0007, Shan Zhang, Dajiang Chen, Xuejun Sha, Xuemin Shen]",On Physical Layer Security - Weighted Fractional Fourier Transform Based User Cooperation.
"[Yuanwei Liu, Zhijin Qin, Maged Elkashlan, Yue Gao, Lajos Hanzo]",Enhancing the Physical Layer Security of Non-Orthogonal Multiple Access in Large-Scale Networks.
"[Lorenzo Mucchi, Luca Simone Ronga, Xiangyun Zhou, Kaibin Huang, Yifan Chen, Rui Wang 0007]",A New Metric for Measuring the Security of an Environment - The Secrecy Pressure.
"[Ahmed El Shafie, Trung Quang Duong, Naofal Al-Dhahir]",QoS-Aware Enhanced-Security for TDMA Transmissions from Buffered Source Nodes.
"[Weijun Tang, Suili Feng, Yuehua Ding, Yuan Liu 0001]",Physical Layer Security in Heterogeneous Networks With Jammer Selection and Full-Duplex Users.
"[Tongxing Zheng, Huiming Wang, Jinhong Yuan, Zhu Han, Moon Ho Lee]",Physical Layer Security in Wireless Ad Hoc Networks Under A Hybrid Full-/Half-Duplex Receiver Deployment Strategy.
Yulong Zou,Physical-Layer Security for Spectrum Sharing Systems.
Rita Ismailova,"Web site accessibility, usability and security - a survey of government web sites in Kyrgyz Republic."
"[César Bernardini, Muhammad Rizwan Asghar, Bruno Crispo]",Security and privacy in vehicular communications - Challenges and opportunities.
"[Madeline Cheah, Siraj A. Shaikh, Olivier Haas, Alastair R. Ruddle]",Towards a systematic security evaluation of the automotive Bluetooth interface.
"[Hamssa Hasrouny, Abed Ellatif Samhat, Carole Bassil, Anis Laouiti]",VANet security challenges and solutions - A survey.
"[Jackson Schmandt, Alan T. Sherman, Nilanjan Banerjee]",Mini-MAC - Raising the bar for vehicular security with a lightweight message authentication protocol.
"[Sang Un Ahn, Sang Oh Park, Jeong-Heon Kim, Byungyun Kong]",Implementation of dataset staging process with improved security in a new analysis facility for ALICE experiment.
"[GuoZhong Li, Jian Sheng Dai, Eun-Mi Park, Seong-Taek Park]",A study on the service and trend of Fintech security based on text-mining - focused on the data of Korean online news.
"[Sung-Kyu Park, Song-Ha Lee, Taek-Young Kim, Hyo-Jung Jun, Tae-Sung Kim]",A performance evaluation of information security training in public sector.
authors,title
"[Hyun Yoo, Joo-Chang Kim, Keon-Woo Kim, Roy C. Park]",Context aware based user customized light therapy service using security framework.
"[Varunya Attasena, Jérôme Darmont, Nouria Harbi]",Secret sharing for cloud data security - a survey.
"[Lina Yang, Shining Li, Zenggang Xiong, Meikang Qiu]",HHT-Based Security Enhancement Approach with Low Overhead for Coding-Based Reprogramming Protocols in Wireless Sensor Networks.
"[Daojing He, Sammy Chan, Mohsen Guizani]",Communication Security of Unmanned Aerial Vehicles.
"[Daojing He, Sammy Chan, Mohsen Guizani]",Cyber Security Analysis and Protection of Wireless Sensor Networks for Smart Grid Monitoring.
"[Neetesh Saxena, Santiago Grijalva, Victor Chukwuka, Athanasios V. Vasilakos]",Network Security and Privacy Challenges in Smart Vehicle-to-Grid.
"[Jie Xu 0002, Lingjie Duan, Rui Zhang 0006]",Surveillance and Intervention of Infrastructure-Free Mobile Communications - A New Wireless Security Paradigm.
"[Tiep Minh Hoang, Trung Quang Duong, Nguyen-Son Vo, Chinmoy Kundu]",Physical Layer Security in Cooperative Energy Harvesting Networks With a Friendly Jammer.
"[Shaobo Jia, Jiayan Zhang, Honglin Zhao, Ruoyu Zhang]",Relay Selection for Improved Security in Cognitive Relay Networks With Jamming.
"[Mahmoud Kamel, Walaa Hamouda, Amr Youssef]",Physical Layer Security in Ultra-Dense Networks.
"[Dimitrios S. Karas, Alexandros-Apostolos A. Boulogeorgos, George K. Karagiannidis, Arumugam Nallanathan]",Physical Layer Security in the Presence of Interference.
"[Qian Wang 0004, Zhi Chen, Weidong Mei, Jun Fang]",Improving Physical Layer Security Using UAV-Enabled Mobile Relaying.
"[Wei Wang 0100, Kah Chan Teh, Kwok Hung Li]",Enhanced Physical Layer Security in D2D Spectrum Sharing Networks.
"[Gustavo Anjos, Daniel Castanheira, Adão Silva, Atílio Gameiro, Marco Gomes 0001, João P. Vilela]",Joint Design of Massive MIMO Precoder and Security Scheme for Multiuser Scenarios under Reciprocal Channel Conditions.
"[Sofiane Hamrioui, Isabel de la Torre Díez, Begonya Garcia-Zapirain, Kashif Saleem, Joel J. P. C. Rodrigues]",A Systematic Review of Security Mechanisms for Big Data in Health and New Alternatives for Hospitals.
"[Mustafa Harun Yilmaz, Ertugrul Güvenkaya, Haji M. Furqan, Selçuk Köse, Hüseyin Arslan]",Cognitive Security of Wireless Communication Systems in the Physical Layer.
"[Md Ileas Pramanik, Raymond Y. K. Lau, Wei T. Yue, Yunming Ye, Chunping Li]",Big data analytics for security and criminal investigations.
"[Mohammad Javad Faghihniya, Seyed Mojtaba Hosseini, Maryam Tahmasebi]",Security upgrade against RREQ flooding attack by using balance index on vehicular ad hoc network.
"[Huei-Wen Ferng, Minh Khoa Nguyen]",On security of wireless sensor networks - a data authentication protocol using digital signature.
"[Behzad Abdolmaleki, Karim Baghery, Shahram Khazaei, Mohammad Reza Aref]",Game-Based Privacy Analysis of RFID Security Schemes for Confident Authentication in IoT.
"[Abdelrahman AlMahmoud, Maurizio Colombo, Chan Yeob Yeun, Hassan Al-Muhairi]",Enhancement of Key Derivation in Web Service Security - Performance Bottleneck in Real-Time Messaging Systems.
"[Mohamed Lassaad Ammari, Paul Fortier]",Impact of Feedback Errors on the Security of MIMO Wiretap Systems with Antenna Selection.
"[B. R. Tapas Bapu, L. C. Siddanna Gowd]",Link Quality Based Opportunistic Routing Algorithm for QOS - Aware Wireless Sensor Networks Security.
"[Attiya Baqai, Fahim Aziz Umrani, Bhawani Shankar Chowdhry]",A Novel Protocol with Patient and Node Identification for Optical WBAN with Inherent Security and Interference Rejection.
"[Chaimaa Belbergui, Najib Elkamoun, Rachid Hilal]",Spatial and Temporal Organization Based Access Control for Wireless Network as a Component of Security Requirements.
"[Oussama Ben Haj Belkacem, Mohamed Lassaad Ammari, Ridha Bouallegue]",Effect of Power Amplifier Nonlinearity on the Physical Layer Security of MIMO Systems.
"[Mustapha Benssalah, Mustapha Djeddou, Karim Drouiche]",Security Analysis and Enhancement of the Most Recent RFID Authentication Protocol for Telecare Medicine Information System.
"[Jakub Breier, Jana Branisová]",A Dynamic Rule Creation Based Anomaly Detection Method for Identifying Security Breaches in Log Records.
"[Rui Chen 0003, Dezhong Peng]",An Anonymous Authentication Scheme with the Enhanced Security for Wireless Communications.
Mussa A. Dida,Improving Wireless Physical Layer Security Using Constant Envelope Chirped OFDM.
"[Lijun Gao, Lu Zhang, Maode Ma]",Low Cost RFID Security Protocol Based on Rabin Symmetric Encryption Algorithm.
"[Aymen Ghilen, Mostafa Azizi, Ridha Bouallegue]",Enhancing the Security of IEEE 802.11i Standard by Integrating a Quantum Scheme for Authentication and Encryption Key Distribution.
"[Hussam M. N. Al Hamadi, Amjad Gawanmeh, Joonsang Baek, Mahmoud Al-Qutayri]",Lightweight Security Protocol for ECG Bio-Sensors.
Hind Idrissi,Anonymous ECC-Authentication and Intrusion Detection Based on Execution Tracing for Mobile Agent Security.
"[V. S. Janani, M. S. K. Manikandan]",Enhanced Security Using Cluster Based Certificate Management and ECC-CRT Key Agreement Schemes in Mobile Ad hoc Networks.
"[Poonam Jindal, Brahmjit Singh]",Optimization of the Security-Performance Tradeoff in RC4 Encryption Algorithm.
"[Kuinam J. Kim, Minsu Kim]",A Study of Integrity on the Security Patches System Using PM-FTS.
"[Miao Lei, Hui Li, Wenlong Liu, Dongxun Jin]",Security Analysis of the Qian et al. Protocol - A Revised Tree-LSHB+ Protocol.
"[R. Mohandas, K. Krishna Moorthy]",MANET Security Betterment by Enhanced Multiple Key Management Scheme.
"[Sang Quang Nguyen, Hyung Yun Kong]",Improving Secrecy Outage and Throughput Performance in Two-Way Energy-Constraint Relaying Networks Under Physical Layer Security.
"[Niloofar Okati, Mohammad Reza Mosavi, Hamid Behroozi]",A Novel Genetic-Based Resource Allocation and Cooperative Node Selection Technique for Physical Layer Security Designs.
"[Ali Rahmanpour, Vahid Tabataba Vakili, S. Mohammad Razavizadeh]",Enhancement of Physical Layer Security Using Destination Artificial Noise Based on Outage Probability.
"[Fatemeh-Sadat Saeidi-Khabisi, Vahid Tabataba Vakili, Dariush Abbasi-Moghadam]",Improving the Physical Layer Security in Cooperative Networks with Multiple Eavesdroppers.
"[Masoumeh Safkhani, Mehdi Hosseinzadeh, Mojtaba Eslamnezhad Namin, Samad Rostampour, Nasour Bagheri]",On the (Im)Possibility of Receiving Security Beyond 2 l Using an l-Bit PRNG.
"[Celine Mary Stuart, Deepthi P. Pattathil]",Nonlinear Cryptosystem Based on QC-LDPC Codes for Enhanced Security and Reliability with Low Hardware Complexity and Reduced Key Size.
"[Yu-mei Sun, Xue-jiao Liu, Qiao-yan Sun, Xiangguang Chen]",Research and Application of Wireless Security Monitoring System in Chemistry and Chemical Engineering Laboratory.
"[Samuel Tweneboah-Koduah, Knud Erik Skouby, Reza Tadayoni]",Cyber Security Threats to IoT Applications and Service Domains.
"[Chandra Sekhar Vorugunti, Bharavi Mishra, Ruhul Amin, Rakesh P. Badoni, Mrudula Sarvabhatla, Dheerendra Mishra]",Improving Security of Lightweight Authentication Technique for Heterogeneous Wireless Sensor Networks.
"[Hwan-Seok Yang, Seung-Jae Yoo]",A Study on Smartwork Security Technology Based on Cloud Computing Environment.
"[Bryan Watson, Jun Zheng]",On the User Awareness of Mobile Security Recommendations.
"[Nicholas Akinyokun, Vanessa Teague]",Security and Privacy Implications of NFC-enabled Contactless Payment Systems.
"[David Bernhard, Oksana Kulyk, Melanie Volkamer]","Security Proofs for Participation Privacy, Receipt-Freeness and Ballot Privacy for the Helios Voting Scheme."
"[Sravani Teja Bulusu, Romain Laborde, Ahmad Samer Wazan, François Barrère, Abdelmalek Benzekri]",Which Security Requirements Engineering Methodology Should I Choose? - Towards a Requirements Engineering-based Evaluation Approach.
"[Martin Husák, Jaroslav Kaspar, Elias Bou-Harb, Pavel Celeda]",On the Sequential Pattern and Rule Mining in the Analysis of Cyber Security Alerts.
"[Martin Gilje Jaatun, Daniela S. Cruzes, Jesus Luna]",DevOps for Better Software Security in the Cloud Invited Paper.
"[Peter Mayer, Alexandra Kunz, Melanie Volkamer]",Reliable Behavioural Factors in the Information Security Context.
"[Dorottya Papp, Levente Buttyán, Zhendong Ma]",Towards Semi-automated Detection of Trigger-based Behavior for Software Security Assurance.
"[Aljosa Pasic, Jose-Ramon Martinez-Salio, Susana Gonzalez Zarzosa, Rodrigo Diaz]",ZONESEC - built-in cyber-security for wide area surveillance system.
"[Sam Procter, Eugene Y. Vasserman, John Hatcliff]",SAFE and Secure - Deeply Integrating Security in a New Hazard Analysis.
"[Kalle Rindell, Sami Hyrynsalmi, Ville Leppänen]",Busting a Myth - Review of Agile Security Engineering Methods.
"[Quentin Le Sceller, ElMouatez Billah Karbab, Mourad Debbabi, Farkhund Iqbal]",SONAR - Automatic Detection of Cyber Security Events over the Twitter Stream.
"[Sebastian Thomas Schork, Antonia Schwichtenberg, Spiros Alexakis, George Moldovan]",Application of the holistic Data Privacy and Security Framework PaaSword - A focus on the integration in industrial Pilots.
"[Andrew Slaughter, Mark Yampolskiy, Manyalibo Matthews, Wayne E. King, Gabe Guss, Yuval Elovici]",How to Ensure Bad Quality in Metal Additive Manufacturing - In-Situ Infrared Thermography from the Security Perspective.
"[Václav Stupka, Martin Horák, Martin Husák]",Protection of personal data in security alert sharing platforms.
"[Natalija Vlajic, X. Y. Shi, Hamzeh Roumani, Pooria Madani]",Resource Hints in HTML5 - A New Pandora&apos;s Box of Security Nightmares.
"[Michiel Willocx, Jan Vossaert, Vincent Naessens]",Security Analysis of Cordova Applications in Google Play.
"[Madhusanka Liyanage, Mika Ylianttila, Andrei V. Gurtov]","Enhancing Security, Scalability and Flexibility of Virtual Private LAN Services."
"[Tuomas Tenkanen, Timo Hämäläinen 0002]","Security Assessment of a Distributed, Modbus-Based Building Automation System."
"[Marco Anisetti, Claudio Agostino Ardagna, Ernesto Damiani, Filippo Gaudenzi]",A Security Benchmark for OpenStack.
"[Uttam Ghosh, Pushpita Chatterjee, Deepak K. Tosh, Sachin Shetty, Kaiqi Xiong, Charles A. Kamhoua]",An SDN Based Framework for Guaranteeing Security and Performance in Information-Centric Cloud Networks.
"[Dean C. Mumme, Brooke Wallace, Robert M. McGraw]",Cloud Security via Virtualized Out-of-Band Execution and Obfuscation.
"[Sajid Nazir, Shushma Patel, Dilip Patel]",Autonomic computing meets SCADA security.
"[Wafaa Radwan, Yousef Hassouneh, Abdel Salam Sayyad, Nariman Ammar]",YAFA-SOA - A GA-Based Optimizer for Optimizing Security and Cost in Service Compositions.
"[Ahmed Taha, Rubén Trapero, Jesus Luna, Neeraj Suri]",A Framework for Ranking Cloud Security Services.
"[Jiarui Gan, Bo An, Yevgeniy Vorobeychik, Brian Gauch]",Security Games on a Plane.
"[Sinong Wang, Fang Liu, Ness B. Shroff]",Non-Additive Security Games.
"[Zizhan Zheng, Ness B. Shroff, Prasant Mohapatra]",When to Reset Your Keys - Optimal Timing of Security Updates via Learning.
"[Chih-Chung Chiu, Kuo-Sui Lin]",Importance-Performance Analysis Based Evaluation Method for Security Incident Management Capability.
"[Swapan Maiti, Shamit Ghosh, Dipanwita Roy Chowdhury]",On the Security of Designing a Cellular Automata Based Stream Cipher.
"[Shuang Liang, Yue Zhang, Bo Li, Xiaojie Guo, Hao Guo, Xiaoyun He, Zheli Liu, Chunfu Jia]",ShadowPWD - practical browser-based password manager with a security token.
"[Xiaohua Tian, Jiaqi Liu, Wei Liu, Yu Cheng 0003, Lijun Ou, Zilong Zhao]",Security analysis of Bloom filter based multicast forwarding.
"[Alexander A. Grusho, Elena E. Timonina, Sergey Shorgin]",Security Models Based on Stochastic Meta Data.
"[Bruce Berg, Tyler Kaczmarek, Alfred Kobsa, Gene Tsudik]","Lights, Camera, Action! Exploring Effects of Visual Distractions on Completion of Security Tasks."
"[Yi-Ruei Chen, Wen-Guey Tzeng]",Hierarchical Key Assignment with Dynamic Read-Write Privilege Enforcement and Extended KI-Security.
"[Britta Hale, Tibor Jager, Sebastian Lauer, Jörg Schwenk]",Simple Security Definitions for and Constructions of 0-RTT Key Exchange.
"[Yutaro Kiyomura, Akiko Inoue, Yuto Kawahara, Masaya Yasuda, Tsuyoshi Takagi, Tetsutaro Kobayashi]",Secure and Efficient Pairing at 256-Bit Security Level.
"[Shang-Tse Chen, Yufei Han, Duen Horng Chau, Christopher S. Gates, Michael Hart, Kevin A. Roundy]",Predicting Cyber Threats with Virtual Security Products.
"[Lingwei Chen, Shifu Hou, Yanfang Ye]",SecureDroid - Enhancing Security of Machine Learning-based Detection against Adversarial Android Malware Attacks.
"[Jianyu Jiang, Shixiong Zhao, Danish Alsayed, Yuexuan Wang, Heming Cui, Feng Liang, Zhaoquan Gu]","Kakute - A Precise, Unified Information Flow Analysis System for Big-data Security."
"[Taegyu Kim, Chung Hwan Kim, Hongjun Choi, Yonghwi Kwon, Brendan Saltaformaggio, Xiangyu Zhang, Dongyan Xu]",RevARM - A Platform-Agnostic ARM Binary Rewriter for Security Applications.
"[Changhoon Yoon, Seungwon Shin, Phillip A. Porras, Vinod Yegneswaran, Heedo Kang, Martin W. Fong, Brian O&apos;Connor, Thomas Vachuska]",A Security-Mode for Carrier-Grade SDN Controllers.
"[Rafael F. Schaefer, Gayan Amarasuriya, H. Vincent Poor]",Physical layer security in massive MIMO systems.
"[Christian T. Zenger, Mario Pietersz, Andreas Rex, Jeremy Brauer, Falk-Peter Dressler, Christian Baiker, Daniel Theis, Christof Paar]",Implementing a real-time capable WPLS testbed for independent performance and security analyses.
"[Kyaw Kyaw Htat, Patricia A. H. Williams, Vincent McCauley]",Security of ePrescriptions - data in transit comparison using existing and mobile device services.
"[Xi Zheng, Lei Pan 0002, Erdem Yilmaz]",Security analysis of modern mission critical android mobile applications.
"[Pericle Perazzo, Carlo Vallati, Antonio Arena, Giuseppe Anastasi, Gianluca Dini]",An Implementation and Evaluation of the Security Features of RPL.
"[Sekgoari Mapunya, Mthulisi Velempini]",Investigating Spectrum Sensing Security Threats in Cognitive Radio Networks.
"[Abdullah Algarni, Fawaz Alsolami, Fathy E. Eassa, Khalid Alsubhi, Kamal M. Jambi, Maher Khemakhem]",An Open Tool Architecture for Security Testing of NoSQL-Based Applications.
"[Mariem Bouchaala, Cherif Ghazel, Leïla Azouz Saïdane, Farouk Kamoun]",End to End Cloud Computing Architecture Based on A Novel Classification of Security Issues.
"[Safa Boumiza, Rafik Braham]",Intrusion Threats and Security Solutions for Autonomous Vehicle Networks.
"[Ghada Glissa, Aref Meddeb]",A Security Analysis of LOADng Routing Protocol.
"[Sarra Naoui, Mohamed Elhoucine Elhdhili, Leïla Azouz Saïdane]",Trusted Third Party Based Key Management for Enhancing LoRaWAN Security.
"[Jesus Pacheco, Daniela Ibarra, Ashamsa Vijay, Salim Hariri]",IoT Security Framework for Smart Water System.
"[Karolína Burská, Radek Oslejsek]",Visual Analytics for Network Security and Critical Infrastructures.
"[Maxime Compastié, Rémi Badonnel, Olivier Festor, Ruan He, Mohamed Kassi-Lahlou]",Towards a Software-Defined Security Framework for Supporting Distributed Cloud.
"[Robert Müller, Marcel Waldvogel, Corinna Schmitt]",MoDeNA - Enhancing User Security for Devices in Wireless Personal and Local Area Networks.
"[Marek Svepes, Tomás Cejka]",Making Flow-Based Security Detection Parallel.
"[Ken Aoi, Takeshi Shingu, Keiichi Iwamura]",Security Evaluation on Secret Computation without Changing the Polynomial Degree.
"[Desta Haileselassie Hagos, Anis Yazidi, Øivind Kure, Paal E. Engelstad]",Enhancing Security Attacks Analysis Using Regularized Machine Learning Techniques.
"[Naoto Kaneko, Keiichi Iwamura]",Improvement of Communication Traffic and Security of Proactive Secret Sharing Schemes and Combination Proactive Secret Sharing Scheme with an Asymmetric Secret Sharing Scheme.
"[Philipp Stephanow, Koosha Khajehmoogahi]",Towards Continuous Security Certification of Software-as-a-Service Applications Using Web Application Testing Techniques.
Paul B. Kantor,Measuring Border Security for Resource Allocation.
"[Yuzhang Lin, Ali Abur]",Identifying security vulnerabilities of weakly detectable network parameter errors.
"[Jairo Giraldo, Alvaro A. Cárdenas, Murat Kantarcioglu]",Security vs. privacy - How integrity attacks can be masked by the noise of differential privacy.
"[Lichun Li, Cédric Langbort, Jeff S. Shamma]",Computing security strategies in finite horizon repeated Bayesian games.
"[David Umsonst, Henrik Sandberg, Alvaro A. Cárdenas]",Security analysis of control system anomaly detectors.
Pierre-Emmanuel Arduin,Workarounds as Means to Identify Insider Threats to Information Systems Security.
"[Tridib Bandyopadhyay, Humayun Zafar]",Influence of Information Overload on IT Security Behavior - A Theoretical Framework.
"[Dennis Brown, Humayun Zafar]",Information Security Policy Quality and Enforcement - Is Compliance a Solution to Fraud.
"[Kavyashree Gollahalli Chandrashekhar, Forough Karimi Alaghehband, Desiree Özgün]",IoT Security Adoption into Business Processes - A Socio-Technical View.
"[Hong Chen, Yong Chen]",Does Legal Protection from Host-countries Mitigates Information Security Risk in Multinational Enterprise Subsidiaries.
"[Jeffrey Cummings, Amy J. Connolly, David Gomillion]",Impacts of Generational Work Experience on Users&apos; Perceptions of Information Security.
"[Vasiliki Diamantopoulou, Aggeliki Tsohou, Euripidis N. Loukis, Stefanos Gritzalis]",Does the Development of Information Systems Resources Lead to the Development of Information Security Resources? An Empirical Investigation.
"[Ersin Dincelli, Sanjay Goel, Merrill Warkentin]",Understanding Nuances of Privacy and Security in the Context of Information Systems.
"[George Grispos, William Bradley Glisson, David Bourrie, Tim Storer, Stacy Miller]",Security Incident Recognition and Reporting (SIRR) - An Industrial Perspective.
"[Jacob Haislip, Jee-Hae Lim, Rob Pinsker]",Do the Roles of the CEO and CFO Differ when it comes to Data Security Breaches?
"[Princely Ifinedo, Efosa C. Idemudia]","Factors Influencing Employees&apos; Participation in Non-Malicious, Information Systems Security Deviant Behavior - Focus on Formal Control Mechanisms and Sanctions."
"[Hwee-Joo Kam, Vishal Shah, Shuyuan Mary Ho]",Bridging the Security Gap between Software Developers and Penetration Testers - A Job Characteristic Theory Perspective.
"[Angela D. Landress, James L. Parrish, Steven Terrell]",Resiliency as an Outcome of Security Training and Awareness Programs.
"[Yaojie Li, Thomas F. Stafford, Bryan Fuller, Selwyn Ellis]",Beyond Compliance - Empowering Employees&apos; Extra-Role Security Behaviors in Dynamic Environments.
"[Ashraf Mady, Saurabh Gupta]",Behavioral Approach to Information Security Policy Compliance.
"[Arti Mann, Priyanka J. Shah]",Framework for Analyzing Security Issues in Business Intelligence and Analytics in Cloud.
"[Byron Marshall, Michael Curry, John Coreia, Robert Crossler]",Personal Motivation Measures for Personal IT Security Behavior.
"[Mark-David McLaughlin, Janis L. Gogan]",Seven C&apos;s of Information Security.
"[Mathias Mujinga, Mariki M. Eloff, Jan H. Hendrik Kroeze]",A Socio-Technical Approach to Information Security.
"[Dinesh Reddy, Glenn B. Dietrich]",Is Self-Efficacy in Information Security Better Modeled as a Predictor Variable or a Mediator Variable in IS literature?
"[Azadeh Savoli, Shamel Addas, Isabelle Fagnot]",Coping with Information Security Stressors in Healthcare.
Tommi J. Tapanainen,Mindfulness in Cyber Security - Examining Responder Behaviors in Cyber-Attacks.
"[Marcus A. Winkfield, James L. Parrish, Gurvirender Tejay]",Information Systems Security Leadership - An Empirical Study of Behavioral Influences.
"[Xiaoni Zhang, Vijay V. Raghavan 0003]",Healthcare Professionals&apos; Views on Security - A Text Analytical Approach.
"[Nur Sena Tanriverdi, Bilgin Metin]",Evaluation of IT Security Perception.
"[Gurpreet Dhillon, Kane Smith, Monica C. Tremblay]",Blockchain for Privacy and Security - The Case of Health Informatics.
"[Anwaar AlDairi, Lo&apos;ai Tawalbeh]",Cyber Security Attacks on Smart Cities and Associated Mobile Technologies.
"[Georg Macher, Harald Sporer, Eugen Brenner, Christian Kreiner]",An Automotive Signal-Layer Security and Trust-Boundary Identification Approach.
"[Alfredo J. Perez, Sherali Zeadally, Nafaâ Jabeur]",Investigating Security for Ubiquitous Sensor Networks.
"[Satoru Nakajima, Takahiko Saba]",Tomlinson-Harashima precoding for physical layer security in MIMO-OFDM systems.
