"[Pongpisit Wuttidittachotti, Therdpong Daengsi]",VoIP-quality of experience modeling - E-model and simplified E-model enhancement using bias factor.
"[Pongpisit Wuttidittachotti, Therdpong Daengsi]",Subjective MOS model and simplified E-model enhancement for Skype associated with packet loss effects - a case using conversation-like tests with Thai users.
"[Min Xia, Gaobo Yang, Leida Li, Ran Li, Xingming Sun]",Detecting video frame rate up-conversion based on frame-level analysis of average texture variation.
"[Dao Xiang, Zilei Wang]",Salient object detection via saliency bias and diffusion.
"[Di Xiao, Yanting Chang, Tao Xiang, Sen Bai]",A watermarking algorithm in encrypted image based on compressive sensing with high quality image reconstruction and watermark performance.
"[Jin Xiao, Zhou Liu, Heng Yang, Xiaoguang Hu]",The invariant features-based target tracking across multiple cameras.
"[Degui Xiao, Qiuwei Yang, Bing Yang, Wei Wei 0002]",Monocular scene flow estimation via variational method.
"[Xiaofen Xing, Fuhao Qiu, Xiangmin Xu, Chunmei Qing, Yinrong Wu]",Robust object tracking based on sparse representation and incremental weighted PCA.
"[Nan Xing, Jianqi Zhang]",Graphical-character-based shredded Chinese document reconstruction.
"[Yu Xiong, Yifei Zhang, Daling Wang, Shi Feng]",Picture or it didn&apos;t happen - catch the truth for events.
"[Jian Xu, Zhiguo Chang, Jiulun Fan, Xiaoqiang Zhao, Xiaomin Wu, Yanzi Wang, Xiaodan Zhang]",Super-resolution via adaptive combination of color channels.
"[Lingwei Xu, T. Aaron Gulliver]",Performance analysis for M2M video transmission cooperative networks using transmit antenna selection.
"[Jianlou Xu, Yan Hao, Hongwei Song]",A modified LOT model for image denoising.
"[Zheng Xu 0001, Yunhuai Liu, Junyu Xuan, Haiyan Chen, Lin Mei]",Crowdsourcing based social media data analysis of urban emergency events.
"[Dongqing Xu, Xiuyou Wang, Gang Sun, Huaimin Li]",Towards a novel image denoising method with edge-preserving sparse representation based on laplacian of B-spline edge-detection.
"[Weidong Xu, Juntang Yang, Xu Zhongze]",The detection algorithm of irregular dynamic objects.
"[Chuanhua Xu, Jia Zhu, Jin Huang, Zhixu Li, Gabriel Pui Cheong Fung]",A health management tool based smart phone.
"[Jiajia Xu, Weiming Zhang, Ruiqi Jiang, Xiaocheng Hu, Nenghai Yu]",Optimal structural similarity constraint for reversible data hiding.
"[Jiajia Xu, Weiming Zhang, Ruiqi Jiang, Nenghai Yu]",Unified entropy-based sorting for reversible data hiding.
"[Guangquan Xu, Gaoxu Zhang, Chao Xu 0003, Bin Liu, Mingquan Li, Yan Ren, Xiaohong Li, Zhiyong Feng, Degan Zhang]",A multi-attribute rating based trust model - improving the personalized trust modeling framework.
"[Bowen Xue, Xiaolong Li, Jinwei Wang, Zongming Guo]",Improved reversible data hiding based on two-dimensional difference-histogram modification.
"[Mahendra Yadava, Pradeep Kumar 0002, Rajkumar Saini, Partha Pratim Roy 0001, Debi Prosad Dogra]",Analysis of EEG signals and its application to neuromarketing.
"[Weiqing Yan, Chunping Hou, Baoliang Wang, Laihua Wang]",Content-aware disparity adjustment for different stereo displays.
"[Xuesong Yan, Tao Song, Qinghua Wu]",An improved cultural algorithm and its application in image matching.
"[Shengye Yan, Xiaodong Zhu, Guoqing Liu, Jianxin Wu]",Sparse multiple instance learning as document classification.
"[Rosa Yáñez-Gómez, Daniel Cascado Caballero, José Luis Sevillano]",Academic methods for usability evaluation of serious games - a systematic review.
Ching-Yu Yang,Robust high-capacity watermarking scheme based on Euclidean norms and quick coefficient alignment.
"[Hsuan-Che Yang, Wen-Chih Chang]",Ubiquitous smartphone platform for K-7 students learning geography in Taiwan.
"[Huijun Yang, Jian Chang, Nan Geng, Gabriel Notman, Shuqin Li, Min Jiang, Meili Wang, Jian-Jun Zhang 0001]",Texture organisation and mapping on Citrus sinensis point cloud.
"[Tao Yang 0010, Dongmei Fu, Shu Pan]",Pedestrian tracking for infrared image sequence based on trajectory manifold of spatio-temporal slice.
"[Ehwa Yang, Jeonghwan Gwak, Moongu Jeon]",Multi-human tracking using part-based appearance modelling and grouping-based tracklet association for visual surveillance applications.
"[Zhiyao Yang, Shuxu Guo, Qinglong Shao]",A fast inter-frame encoding scheme using the edge information and the spatiotemporal encoding parameters for HEVC.
"[Baoqing Yang, Chaochen Gu, Kaijie Wu 0002, Tao Zhang 0010, Xin-Ping Guan]",Simultaneous dimensionality reduction and dictionary learning for sparse representation based classification.
"[Ho-Kyung Yang, Jin-Mook Kim, Hwa-Young Jeong]",Design of mVoIP service based authentication system.
"[Yang Yang 0023, Yun-Xia Liu, Qi-Fan Dong]",Sliced integral histogram - an efficient histogram computing algorithm and its FPGA implementation.
"[Shaobo Yang, Sihui Liu, Xing-fei Li, Ying Zhong, Xin He, Chao Wu]",The short-term forecasting of evaporation duct height (EDH) based on ARIMA model.
"[Jiachen Yang, Yun Liu, Wei Wei, Qinggang Meng, Zhiqun Gao, Yancong Lin]",A new research on contrast sensitivity function in 3D space.
"[Xin Yang, Shuai Li, Yong Zhang, Wanchao Su, Mingyue Zhang, Guozhen Tan, Qiang Zhang 0008, Dongsheng Zhou, Xiaopeng Wei]",Interactive traffic simulation model with learned local parameters.
"[Wankou Yang, Changyin Sun, Wenming Zheng, Karl Ricanek]",Gender classification using 3D statistical models.
"[Xiaomin Yang, Wei Wu 0002, Kai Liu 0012, Wei-long Chen, Ping Zhang, Zhili Zhou]",Multi-sensor image super-resolution with fuzzy cluster by using multi-scale and multi-view sparse coding for infrared image.
"[Cheng-Hsing Yang, Chi-Yao Weng, Yih-Kai Lin, Kuan-Liang Liu]",High-fidelity lossless data hiding based on predictors selection.
"[Yifang Yang, Yuping Wang, Xingsi Xue]",Discriminant sparse locality preserving projection for face recognition.
"[Yitao Yang, Zheng Xu, Liying Liu, Guozi Sun]",A security carving approach for AVI video based on frame size and index.
"[Bing Yang, Xueqin Xiang, Duanqing Xu, Xiaohua Wang, Xin Yang]",3D palmprint recognition using shape index representation and fragile bits.
"[Tonghao Yang, Bin Yu, Hengjun Wang, Junquan Li, Zhihan Lv]",Cryptanalysis and improvement of Panda - public auditing for shared data in cloud and internet of things.
"[Zhen Yang, Fan Yang, Huilin Xiong]",Combining background information and a top-down model for computing salient objects.
"[Yue Yang, Hanli Zhao, Lihua You, Renlong Tu, Xueyi Wu, Xiaogang Jin 0001]",Semantic portrait color transfer with internet images.
"[Rui Yao, Jinliang Sun, Yong Zhou, Dai Chen]",Video stitching based on iterative hashing and dynamic seam-line with local context.
"[Shihong Yao, Tao Wang, Weiming Shen 0001, Shaoming Pan, Yanwen Chong]",Research of incoherence rotated chaotic measurement matrix in compressed sensing.
"[Heng Yao, Shuozhong Wang, Xinpeng Zhang, Chuan Qin, Jinwei Wang]",Detecting Image Splicing Based on Noise Level Inconsistency.
"[Shwu-Huey Yen, Hao-Yu Yeh, Hsiao-Wei Chang]",Progressive completion of a panoramic image.
"[Sung-Dae Yeo, Tae-Il Cho, Jong-Un Kim, Goo-Man Park, Seong-Kweon Kim]",Compensation of audio data with a high frequency components for realistic media FTV.
"[Yun Yi, Hanli Wang, Bowen Zhang]",Learning correlations for human action recognition in videos.
"[Zhao-Xia Yin, Andrew Abel, Jin Tang, Xinpeng Zhang, Bin Luo]",Reversible data hiding in encrypted images based on multi-level encryption and block histogram modification.
"[Chunyong Yin, Luyu Ma, Lu Feng]",Towards accurate intrusion detection based on improved clonal selection algorithm.
"[Chunyong Yin, Jinwen Xi]",Maximum entropy model for mobile text classification in cloud computing using improved information gain algorithm.
"[Chengjiu Yin, Jane Yin-Kim Yau, Gwo-Jen Hwang, Hiroaki Ogata]",An SNS-based model for finding collaborative partners.
"[Chunyong Yin, Sun Zhang]",Parallel implementing improved k-means applied for image retrieval and anomaly detection.
"[Seehwan Yoo, Eun-Seok Ryu]",Parallel HEVC decoding with asymmetric mobile multicores.
"[Feng You, Yao-hua Li, Ling Huang, Kang Chen, Rong-hui Zhang, Jian-min Xu]",Monitoring drivers&apos; sleepy status at night based on machine vision.
"[Jiali You, Hanxing Xue, Lixin Gao, Guoqiang Zhang, Yu Zhuo, Jinlin Wang 0001]",Predicting the online performance of video service providers on the internet.
Chong Yu,Steganography of digital watermark by Arnold scrambling transform with blind source separation morphological component analysis.
"[Sheng Yu, Yun Cheng, Songzhi Su, Guo-Rong Cai, Shaozi Li]",Stratified pooling based deep convolutional neural networks for human action recognition.
"[Wangsheng Yu, Zhiqiang Hou, Dan Hu, Peng Wang]",Robust mean shift tracking based on refined appearance model and online update.
"[Jun Yu, Chen Jiang, Zengfu Wang]",Creating and simulating a realistic physiological tongue model for speech production.
"[Jun Yu, Lingyan Li, Jie Zou]",Realistic emotion visualization by combining facial animation and hairstyle synthesis.
"[Jialin Yu, Jifeng Sun]",3D human pose regression via robust sparse tensor subspace learning.
"[Jun Yu, Zengfu Wang]",A Video-Based Facial Motion Tracking and Expression Recognition System.
"[Lingyun Yu, Jun Yu, Zengfu Wang]",A realistic 3D articulatory animation system for emotional visual pronunciation.
"[Hong-Mei Yuan, Ye Liu, Lihua Gong, Jun Wang]",A new image cryptosystem based on 2D hyper-chaotic system.
"[Yunhao Yuan, Yun Li, Xiao-Bo Shen, Quan-Sen Sun, Jinlong Yang]",Laplacian multiset canonical correlations for multiview feature extraction and image recognition.
"[Li Yufeng, He Wei]",Research on SAR image change detection algorithm based on hybrid genetic FCM and image registration.
"[Dai Yun-Zhong, Luo Ren-Ze]",Research of energy efficient clustering algorithm for multilayer wireless heterogeneous sensor networks prediction research.
"[Markos Zampoglou, Symeon Papadopoulos, Yiannis Kompatsiaris]",Large-scale evaluation of splicing localization algorithms for web images.
"[Mohsen Zand, Shyamala Doraisamy, Alfian Abdul Halin, Mas Rina Mustaffa]",Visual and semantic context modeling for scene-centric image annotation.
"[Telmo Zarraonandia, Paloma Díaz-Pérez, Ignacio Aedo]",Using combinatorial creativity to support end-user design of digital games.
"[Petr Zatloukal, Martin Bernas]",Optimized H.264 compression of sign language video.
"[Kehan Zeng, Mingchui Dong]",Signal-to-noise ratio estimation based on Haar wavelet for cardiovascular bio-signals in web-based e-healthcare system.
"[Weili Zeng, Yijun Du, Changhui Hu]",Noise Suppression by Discontinuity Indicator Controlled Non-local Means Method.
"[Hui Zeng, Huijuan Wang, Jiyuan Dong]",Robust 3D keypoint detection method based on double Gaussian weighted dissimilarity measure.
"[Yi Zeng 0002, Shuang Wang, Tianzhong Zhao, Jing Wang]",An application of tree species classification using high-resolution remote sensing image based on the rough set theory.
"[Shaoning Zeng, Xiong Yang, Jianping Gou]",Multiplication fusion of sparse and collaborative representation for robust face recognition.
"[Hui Zeng, Yifeng Zhan, Xiangui Kang, Xiaodan Lin]",Image splicing localization using PCA-based noise level estimation.
"[Qing-Mao Zeng, Tonglin Zhu, Xue-Ying Zhuang, Ming-Xuan Zheng, Yubin Guo]",Using the periodic wavelet descriptor of plant leaf to identify plant species.
"[Yongjie Zhai, Di Wang, Muliu Zhang, Jiarong Wang, Feng Guo]",Fault detection of insulator based on saliency and adaptive morphology.
"[Qiang Zhan, Yu Mao]",Improved spectral clustering based on Nyström method.
Xiaobo Zhang,A denoising approach via wavelet domain diffusion and image domain diffusion.
"[Qi Zhang 0005, Tianguang Chu]",Learning in multimodal and mixmodal data - locality preserving discriminant analysis with kernel and sparse representation techniques.
"[Longyu Zhang, Bote Han, Haiwei Dong, Abdulmotaleb El-Saddik]",Development of an automatic 3D human head scanning-printing system.
"[Tao Zhang 0010, Wenjing Jia, Baoqing Yang, Jie Yang 0002, Xiangjian He, Zhonglong Zheng]",MoWLD - a robust motion image descriptor for violence detection.
"[Xiaoli Zhang, Xiongfei Li, Yuncong Feng]",Image fusion based on simultaneous empirical wavelet transform.
"[Jun Zhang, Jimin Liang, Haihong Hu]",Multi-view texture classification using hierarchical synthetic images.
"[Hong Zhang, Fan Li, Na Li]",Compressed-domain-based no-reference video quality assessment model considering fast motion and scene change.
"[Jianwei Zhang 0005, Jing Liu, Tong Li 0012, Yuhui Zheng, Jin Wang 0001]",Gaussian mixture model learning based image denoising method with adaptive regularization parameters.
"[Jing Zhang, Xiaoxue Li, Weizhi Nie, Yuting Su]",Automatic report generation based on multi-modal information.
"[Yi Zhang 0026, Xiangyang Luo, Chunfang Yang, Fenlin Liu]",Joint JPEG compression and detection resistant performance enhancement for adaptive steganography using feature regions selection.
"[Xuanping Zhang, Weiguo Nie, Youling Ma, Qinqin Tian]",Cryptanalysis and improvement of an image encryption algorithm based on hyper-chaotic system and dynamic S-box.
"[Lei Zhang, Qiang Peng, Xiao Wu]",Perception-based adaptive quantization for transform-domain Wyner-Ziv video coding.
"[Yun Zhang 0002, Zhaoqing Pan, Yang Zhou, Linwei Zhu]",Allowable depth distortion based fast mode decision and reference frame selection for 3D depth coding.
"[Baopeng Zhang, Yanyun Qu, Jinye Peng, Jianping Fan 0001]",An automatic image-text alignment method for large-scale web image retrieval.
"[Yujie Zhang, Rui Qi, Yanni Zeng]",Backtracking-based matching pursuit method for distributed compressed sensing.
"[Yujie Zhang, Rui Qi, Yanni Zeng]",Forward-backward pursuit method for distributed compressed sensing.
"[Jing Mao Zhang, Yan Xia Shen]",Spectral segmentation via minimum barrier distance.
"[Yan Zhang, Zheng Sun, Peng Jiang, Yan Huang 0003, Jingliang Peng]",Hybrid image retargeting using optimized seam carving and scaling.
"[Aizhu Zhang, Genyun Sun, Si Han Liu, Zhenjie Wang, Peng Wang, Jing Sheng Ma]",Multi-scale segmentation of very high resolution remote sensing image based on gravitational field and optimized region merging.
"[Xianquan Zhang, Zerui Sun, Zhenjun Tang, Chunqiang Yu, Xiaoyun Wang]",High capacity data hiding based on interpolated image.
"[Xiaofeng Zhang, Yujuan Sun, Gang Wang, Qiang Guo 0003, Caiming Zhang, Beijing Chen]",Improved fuzzy clustering algorithm with non-local information for image segmentation.
"[Changyou Zhang, Xiaoya Wang, Jun Feng, Yu Cheng, Cheng Guo]",A car-face region-based image retrieval method with attention of SIFT features.
"[Wenjie Zhang, Qingyu Xiong]",Image registration via low-rank factorization and maximum rank resolving.
"[Junguo Zhang, Qiumin Xiang, Yaguang Yin, Chen Chen, Xin Luo]",Adaptive compressed sensing for wireless image sensor networks.
"[Shichao Zhang, Lifeng Yang, Zhenyun Deng, Debo Cheng, Yonggang Li]",Leverage triple relational structures via low-rank feature reduction for multi-output regression.
"[Mingxing Zhang, Yang Yang 0002, Fumin Shen, Hanwang Zhang, Yuan Wang]",Multi-view feature selection and classification for Alzheimer&apos;s Disease diagnosis.
"[Mingxing Zhang, Yang Yang 0002, Fumin Shen, Hanwang Zhang, Yuan Wang]",Erratum to - Multi-view feature selection and classification for Alzheimer&apos;s Disease Diagnosis.
"[Jinyu Zhang, Yifan Zhang]",QoS-awareness peer coordination control for topology-converging P2P live streaming.
"[Dalu Zhang, Dejiang Zhou, Xiang Jin]",A content-adaptive video quality assessment method for online media service.
"[Haiyan Zhang, Liyi Zhang, Yunshan Sun, Jingyu Zhang]",Low dose CT image statistical reconstruction algorithms based on discrete shearlet.
"[Chi Zhang, Jin Zheng, Yugui Zhang, Mengxiong Han, Bo Li 0006]",Moving object detection algorithm based on pixel spatial sample difference consensus.
"[Yang Zhao, Yanguang Cai, Defu Cheng]",A novel local exploitation scheme for conditionally breeding real-coded genetic algorithm.
"[Hong Zhao, Yifan Chen, Rui Wang 0007, Hafiz Malik]",Audio splicing detection and localization using environmental signature.
"[Xin Zhao, Guiguang Ding]",Query expansion for object retrieval with active learning using BoW and CNN feature.
"[Long Zhao, Xue Dong, WeiYang Chen, LinFeng Jiang, Xiangjun Dong]",The combined cloud model for edge detection.
"[Xin Zhao, Jiwei Liu, Guangda Hu]",Exploitation of motion non-stationarity at the encoder and decoder of DVC - a review.
"[Xin Zhao, Jiwei Liu, Guangda Hu]",Erratum to - Exploitation of motion non-stationarity at the encoder and decoder of DVC - a review.
"[Huijie Zhao, Chen Lou, Na Li]",A real-time CFAR thresholding method for target detection in hyperspectral images.
"[Wanqing Zhao, Hangzai Luo, Jinye Peng, Jianping Fan 0001]",MapReduce-based clustering for near-duplicate image identification.
"[Fengqiang Zhao, Guangqiang Li, Rubo Zhang, Jialu Du, Chen Guo, Yiran Zhou, Zhihan Lv]",Swarm-based intelligent optimization approach for layout problem.
"[Chaoyang Zhao, Jinqiao Wang, Hanqing Lu]",Learning discriminative context models for concurrent collective activity recognition.
"[Zhiqiang Zhao, Tianjiang Wang, Fang Liu, Gwang-Min Choe, Caihong Yuan, Zongmin Cui]",Remarkable local resampling based on particle filter for visual tracking.
"[Xuran Zhao, Xun Wang, Huiyan Wang]",Multi-view dimensionality reduction via subspace structure agreement.
"[Jie Zhao, Gang Xie, Jiwan Han]",Conditional random field with the multi-granular contextual information for pixel labeling.
"[Yanna Zhao, Xu Zhao, Zong Jie Xiang, Yuncai Liu]",Online learning of dynamic multi-view gallery for person Re-identification.
"[Jinqing Zheng, Zhiyong Feng, Chao Xu, Jing Hu, Weimin Ge]",Fusing shape and spatio-temporal features for depth-based dynamic hand gesture recognition.
"[Yu Zheng 0006, Xinbo Gao]",Indoor scene recognition via multi-task metric multi-kernel learning from RGB-D images.
"[Lingxiang Zheng, Xiaoyang Ruan, Yunbiao Chen, Minzheng Huang]",Shadow removal for pedestrian detection and tracking in indoor environments.
"[Ying Zheng, Hongxun Yao, Xiaoshuai Sun, Xuesong Jiang, Fatih Porikli]",Breaking video into pieces for action recognition.
"[Si Zheng, Guobin Zhu, Jie Zhang, Wei Feng]",Towards an adaptive human-centric computing resource management framework based on resource prediction and multi-objective genetic algorithm.
"[Aihua Zheng, Lei Zhang, Wei Zhang, Chenglong Li, Jin Tang, Bin Luo]",Local-to-global background modeling for moving object detection from non-static cameras.
"[Junliu Zhong, Yanfen Gan, Janson Young, Lian Huang, Peiyu Lin]",A new block-based method for copy move forgery detection under image geometric transforms.
"[Zhun Zhong, Songzhi Su, Donglin Cao, Shaozi Li, Zhihan Lv]",Detecting ground control points via convolutional neural network for stereo matching.
"[Zhiheng Zhou, Ming Dai, Ruzheng Zhao, Bo Li, Huiqiang Zhong, Yiming Wen]",Video error concealment scheme based on tensor model.
"[Ping Zhou, Yixue Hao, Jun Yang 0014, Wei Li, Lu Wang, Yiming Miao, Jeungeun Song 0001]",Cloud-assisted hugtive robot for affective interaction.
"[Yang Zhou, Yongjian He, Song Zhang, Yun Zhang]",Visual comfort prediction for stereoscopic image using stereoscopic visual saliency.
"[Xiaokang Zhou, Qun Jin]",A heuristic approach to discovering user correlations from organized social stream data.
"[Xiaofei Zhou, Zhi Liu 0003, Guangling Sun, Xiangyang Wang]",Adaptive saliency fusion based on quality assessment.
"[Zhiping Zhou, Mingzhu Zhou, Jing Li]",Object tracking method based on hybrid particle filter and sparse representation.
"[Guixiang Zhu, Jie Cao, Changsheng Li, Zhiang Wu 0001]",A recommendation engine for travel products based on topic sequential patterns.
"[Nan Zhu, Cheng Deng, Xinbo Gao]",Image sharpening detection based on multiresolution overshoot artifact analysis.
"[Shiping Zhu, Ruidong Gao, Zheng Li]",Stereo matching algorithm with guided filter and modified dynamic programming.
"[Heyan Zhu, Xinyuan Huang, Shengping Zhang, Pong C. Yuen]",Plant identification via multipath sparse coding.
"[Li Zhu, Hwa-Young Jeong]",Research on an optimal selection method for sensor network node under high-speed mobile environment.
"[Shiping Zhu, Chunyan Zhang]",A fast algorithm of intra prediction modes pruning for HEVC based on decision trees and a new three-step search.
"[Yonghua Zhu, Xuejun Zhang, Guoqiu Wen, Wei He, Debo Cheng]",Double sparse-representation feature selection algorithm for classification.
"[Haijiang Zhu, Zhanhong Zhuang, Jinglin Zhou, Fan Zhang 0007, Xuejing Wang, Yihong Wu]",Segmentation of liver cyst in ultrasound image based on adaptive threshold algorithm and particle swarm optimization.
"[Peixian Zhuang, Yue Huang, Delu Zeng, Xinghao Ding]",Non-blind deconvolution with ℓ 1 -norm of high-frequency fidelity.
"[Yi Zhuang, Nan Jiang, Hua Hu, Dickson K. W. Chiu, Qing Li]",Interactive transmission processing for large images in a resource-constraint mobile wireless network.
"[Chenyi Zhuang, Qiang Ma 0001, Masatoshi Yoshikawa]",SNS user classification and its application to obscure POI discovery.
"[Kechen Zhuang, Haibo Shen, Hong Zhang]",User spread influence measurement in microblog.
"[Kanjar de, V. Masilamani]",No-reference image contrast measure using image statistics and random forest.
"[Mehmet Simsek, Nurettin Dogan, Muhammet Ali Akcayol]",A New Packet Scheduling Algorithm for Real-Time Multimedia Streaming.
"[Miran Taha, Jaime Lloret, Alejandro Canovas, Laura García]",Survey of Transportation of Adaptive Multimedia Streaming service in Internet.
"[Peter Brusilovsky, Jung Sun Oh, Claudia López, Denis Parra, Wei Jeng]",Linking information and people in a social system for academic conferences.
"[Roya Hosseini, Peter Brusilovsky]",A study of concept-based similarity approaches for recommending program examples.
"[Hikmat Ullah Khan, Ali Daud]",Finding the top influential bloggers based on productivity and popularity features.
"[Daniel Lamprecht, Kristina Lerman, Denis Helic, Markus Strohmaier]",How the structure of Wikipedia articles influences user navigation.
"[Laure Léger, Aline Chevalier]",Location and orientation of panel on the screen as a structural visual element to highlight text displayed.
"[Piotr Leszczynski, Anna Charuta, Barbara Kolodziejczak, Magdalena Roszak]",Evaluation of virtual environment as a form of interactive resuscitation exam.
Chen-Ju Lin,Mobile-media pragmatism - innovation excellences and encumbrances.
"[Arsalan Rahman Mirza, Melike Sah]",Automated software system for checking the structure and format of ACM SIG documents.
"[Nikolaos Pellas, Efstratios Peroutseas]",Leveraging Scratch4SL and Second Life to motivate high school students&apos; participation in introductory programming courses - findings from a case study.
"[Laura Pozueco, Alberto Álvarez, Xabiel G. Pañeda, Roberto García, David Melendi, Gabriel Díaz]",Subjective video quality evaluation of different content types under different impairments.
"[Adam J. Sporka, Jan Valta]",Design and implementation of a non-linear symphonic soundtrack of a video game.
"[Le Van Thinh, Truong-Dinh Tu]",QoS prediction for web services based on user-trust propagation model.
"[Penghua Yu, Lanfen Lin, Jing Wang 0025]",A novel framework to alleviate the sparsity problem in context-aware recommender systems.
"[Xuebing Dong, Yaping Chang, Xiaojun Fan]",Effects of the characteristics of online multimedia synergy on consumers&apos; message acceptance and message response.
"[Thanos G. Stavropoulos, Georgios Meditskos, Ioannis Kompatsiaris]","DemaWare2 - Integrating sensors, multimedia and semantic analysis for the ambient care of dementia."
"[Pushpalatha K, Ananthanarayana V. S]",A tree based representation for effective pattern discovery from multimedia documents.
"[Arfa Dilawari, Muhammad Tahir]",Optimal Video-Distortion Network Utility and Lifetime Tradeoff for Wireless Multimedia Networks.
"[Thaier Hayajneh, Sana Ullah, Bassam Jamil Mohd, Kiran S. Balagani]",An Enhanced WLAN Security System With FPGA Implementation for Multimedia Applications.
"[Gangyong Jia, Guangjie Han, Aohan Li, Jaime Lloret]",Coordinate Channel-Aware Page Mapping Policy and Memory Scheduling for Reducing Memory Interference Among Multimedia Applications.
"[Yiannos Kryftis, George Mastorakis, Constandinos X. Mavromoustakis, Jordi Mongay Batalla, Joel J. P. C. Rodrigues, Ciprian Dobre]",Resource Usage Prediction Models for Optimal Multimedia Content Provision.
"[Chi Harold Liu, Zhen Zhang, Min Chen]",Personalized Multimedia Recommendations for Cloud-Integrated Cyber-Physical Systems.
Wei Wang 0015,Collaborative Multimedia Source-Protocol Coordination - A Cross-Layer QoE Study in Modern Wireless Networks.
"[Qingchen Zhang, Laurence T. Yang, Zhikui Chen, Feng Xia]",A High-Order Possibilistic C-Means Algorithm for Clustering Incomplete Multimedia Data.
"[Bruno Costa e Silva Nogueira, Paulo Romero Martins Maciel, Eduardo Tavares, Ricardo M. A. Silva, Ermeson Carneiro de Andrade]",Multi-objective optimization of multimedia embedded systems using genetic algorithms and stochastic simulation.
"[Darren Quick, Kim-Kwang Raymond Choo]",Big forensic data management in heterogeneous distributed systems - quick analysis of multimedia forensic data.
"[Eric Hsiao-Kuang Wu, Shumin Chuang, Chen-Yen Shih, Hao-Che Hsueh, Shih-Syuan Huang, Hsiao-Ping Huang]",A flexible and lightweight user-demand DRM system for multimedia contents over multiple portable device platforms.
"[Ahmed Badr, Ashish Khisti, Wai-Tian Tan, John G. Apostolopoulos]",Perfecting Protection for Interactive Multimedia - A survey of forward errror correction for low-delay interactive applications.
"[JongBeom Lim, HeonChang Yu, Joon-Min Gil]",An Efficient and Energy-Aware Cloud Consolidation Algorithm for Multimedia Big Data Applications.
"[Goutam Mali, Sudip Misra]",Topology Management-Based Distributed Camera Actuation in Wireless Multimedia Sensor Networks.
"[Joshua C. Poore, Andrea K. Webb, Meredith G. Cunha, Laura J. Mariano, David T. Chappell, Mikaela R. Coskren, Jana L. Schwartz]",Operationalizing Engagement with Multimedia as User Coherence with Context.
"[Bogdan Ciubotaru, Cristina Hava Muntean, Gabriel-Miro Muntean]",Mobile Multi-Source High Quality Multimedia Delivery Scheme.
"[Li-Chung Lo, Wan-Jen Huang, Yi-Wei Yao]",Wireless Multimedia Transmission Through Cooperative Spectrum Sharing With Quantized Feedback.
"[Young Geun Kim, Minyong Kim, Sung Woo Chung]",Enhancing Energy Efficiency of Multimedia Applications in Heterogeneous Mobile Multi-Core Processors.
"[Qiong Tang, Angel M. Groba, Eduardo Juárez, César Sanz]",Closed-loop power-control governor for multimedia mobile devices.
"[Ijeoma Anarado, Mohammad Ashraful Anam, Fabio Verdicchio, Yiannis Andreopoulos]",Mitigating Silent Data Corruptions in Integer Matrix Products - Toward Reliable Multimedia Computing on Unreliable Hardware.
"[Jingfang Huang, Honggang Wang, Yi Qian]",Game User-Oriented Multimedia Transmission Over Cognitive Radio Networks.
"[Caijuan Shi, Gaoyun An, Ruizhen Zhao, Qiuqi Ruan, Qi Tian]",Multiview Hessian Semisupervised Sparse Feature Selection for Multimedia Analysis.
"[Xiaojun Chang, Zhigang Ma, Yi Yang 0001, Zhiqiang Zeng, Alexander G. Hauptmann]",Bi-Level Semantic Representation Analysis for Multimedia Event Detection.
"[Diego Marcos-Jorquera, Maria Luisa Pertegal-Felices, Antonio Jimeno-Morenilla, Raquel Gilar-Corbi]",An Interdisciplinary Practical for Multimedia Engineering Students.
Yan Lei,Downlink resource allocation for on-demand multimedia services in high-speed railway communication systems.
"[Jinhui Tang, Shiyu Chang, Guo-Jun Qi, Qi Tian, Yong Rui, Thomas S. Huang]",LEGO-MM - LEarning Structured Model by Probabilistic loGic Ontology Tree for MultiMedia.
"[Rongrong Ji, Wei Liu, Xing Xie, Yiqiang Chen, Jiebo Luo]",Mobile Social Multimedia Analytics in the Big Data Era - An Introduction to the Special Issue.
"[Liqiang Nie, Luming Zhang, Meng Wang 0001, Richang Hong, Aleksandr Farseev, Tat-Seng Chua]",Learning User Attributes via Mobile Social Multimedia Analytics.
"[Yingjie Xia, Wenzhi Chen, Xuejiao Liu, Luming Zhang, Xuelong Li, Yang Xiang 0001]",Adaptive Multimedia Data Forwarding for Privacy Preservation in Vehicular Ad-Hoc Networks.
"[Jordi Mongay Batalla, Constandinos X. Mavromoustakis, George Mastorakis, Daniel Négru, Eugen Borcoci]",Evolutionary Multiobjective Optimization algorithm for multimedia delivery in critical applications through Content-Aware Networks.
"[Brian Kim, Kostas E. Psannis, Harish Bhaskar]",Special section on emerging multimedia technology for smart surveillance system with IoT environment.
"[Chunlin Li, Liye Zhu, Yanpei Liu, Youlong Luo]",Resource scheduling approach for multimedia cloud content management.
"[Xiang Lu, Linlin Tu, Xinyun Zhou, Naixue Xiong, Limin Sun]",ViMediaNet - an emulation system for interactive multimedia based telepresence services.
"[Min Xing, Jianping He, Lin Cai 0001]",Utility Maximization for Multimedia Data Dissemination in Large-Scale VANETs.
"[Ali Akbari, Maria Trocan, Bertrand Granado]",Sparse Recovery-Based Error Concealment.
"[Hussein Al-Zubaidy, Viktoria Fodor, György Dán, Markus Flierl]",Reliable Video Streaming With Strict Playout Deadline in Multihop Wireless Networks.
